,x,y,u,cell_id,CoV,infected_DM_3,IoD,infected_DM_0,population,sd,var,infected_DM_2,infected_DM_1,level of impact,level of uncertainity,distance in miles
459,-2.2729369,53.4006619,1.0,8381259875176366000,0.816496580927726,1,0.666666666666667,2,17,0.816496580927726,0.666666666666667,1,0,higher impacted area,moderate uncertainity,0.5717057245126063
460,-2.2729369,53.4006619,1.0,8381259875176366000,1.15470053837925,0,1.33333333333333,2,17,1.15470053837925,1.33333333333333,0,2,higher impacted area,highest uncertainity,0.5717057245126063
461,-2.2714329,53.4006653,1.75,-4490554658350668000,0.547101204432193,1,0.523809523809524,1,44,0.957427107756338,0.916666666666667,3,2,higher impacted area,least uncertainity,0.6705134819325118
462,-2.2714329,53.4006653,2.25,-4490554658350668000,0.425523159002817,1,0.407407407407407,2,44,0.957427107756338,0.916666666666667,3,3,highest contaminated zone,least uncertainity,0.6705134819325118
463,-2.2699289,53.4006687,0.25,-2012966174757236000,2.0,0,1.0,0,17,0.5,0.25,1,0,slightly impacted area,highest uncertainity,0.7706663432732181
464,-2.2699289,53.4006687,1.5,-2012966174757236000,0.38490017945975,1,0.222222222222222,2,17,0.577350269189626,0.333333333333333,2,1,higher impacted area,least uncertainity,0.7706663432732181
465,-2.268425,53.4006721,0.25,-6792483954741500000,2.0,0,1.0,0,17,0.5,0.25,1,0,slightly impacted area,highest uncertainity,0.8716940565430221
466,-2.268425,53.4006721,1.0,-6792483954741500000,0.816496580927726,1,0.666666666666667,0,17,0.816496580927726,0.666666666666667,2,1,higher impacted area,moderate uncertainity,0.8716940565430221
467,-2.266921,53.4006755,0.25,3532953874733143000,2.0,0,1.0,1,34,0.5,0.25,0,0,slightly impacted area,highest uncertainity,0.9733355812880822
468,-2.266921,53.4006755,1.0,3532953874733143000,0.0,1,0.0,1,34,0.0,0.0,1,1,higher impacted area,least uncertainity,0.9733355812880822
469,-2.265417,53.4006789,0.25,2977121735458557000,2.0,1,1.0,0,14,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.0754120924462316
470,-2.265417,53.4006789,0.5,2977121735458557000,1.15470053837925,0,0.666666666666667,0,14,0.577350269189626,0.333333333333333,1,1,moderately impacted area,moderate uncertainity,1.0754120924462316
471,-2.263913,53.4006822,0.5,-4693340380121926000,2.0,2,2.0,0,23,1.0,1.0,0,0,moderately impacted area,highest uncertainity,1.1778116076245078
472,-2.262409,53.4006855,1.0,2339924641393845000,0.816496580927726,0,0.666666666666667,1,68,0.816496580927726,0.666666666666667,2,1,higher impacted area,moderate uncertainity,1.2804556143573533
473,-2.262409,53.4006855,1.25,2339924641393845000,1.2,0,1.8,2,68,1.5,2.25,3,0,higher impacted area,highest uncertainity,1.2804556143573533
474,-2.260905,53.4006888,0.75,4517535575464479000,1.27656947700845,1,1.22222222222222,0,15,0.957427107756338,0.916666666666667,2,0,higher impacted area,highest uncertainity,1.3832896878212972
475,-2.2503772,53.4007114,0.25,-2608965657588492000,2.0,0,1.0,0,51,0.5,0.25,0,1,slightly impacted area,highest uncertainity,2.106095552245749
476,-2.3090389,53.4014727,0.25,2936143807980350000,2.0,0,1.0,0,32,0.5,0.25,1,0,slightly impacted area,highest uncertainity,1.9599838839993633
477,-2.3045269,53.4014843,0.25,7677381345449000000,2.0,0,1.0,0,30,0.5,0.25,0,1,slightly impacted area,highest uncertainity,1.6490427615791237
478,-2.3030229,53.4014881,0.5,7871849724886369000,2.0,0,2.0,2,34,1.0,1.0,0,0,moderately impacted area,highest uncertainity,1.5454685919715563
479,-2.3015189,53.4014919,0.25,-8615049708548424000,2.0,0,1.0,0,122,0.5,0.25,1,0,slightly impacted area,highest uncertainity,1.4419437314649652
480,-2.3015189,53.4014919,0.75,-8615049708548424000,1.27656947700845,1,1.22222222222222,2,122,0.957427107756338,0.916666666666667,0,0,higher impacted area,highest uncertainity,1.4419437314649652
481,-2.3000148,53.4014957,0.25,-5152778041371980000,2.0,1,1.0,0,33,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.3384727463642043
482,-2.3000148,53.4014957,0.25,-5152778041371980000,2.0,0,1.0,1,33,0.5,0.25,0,0,slightly impacted area,highest uncertainity,1.3384727463642043
483,-2.2939988,53.4015107,0.75,3467499030040046000,1.27656947700845,2,1.22222222222222,0,40,0.957427107756338,0.916666666666667,0,1,higher impacted area,highest uncertainity,0.9256331537759723
484,-2.2939988,53.4015107,1.0,3467499030040046000,0.0,1,0.0,1,40,0.0,0.0,1,1,higher impacted area,least uncertainity,0.9256331537759723
485,-2.2924948,53.4015144,1.25,-6221040736097701000,1.51437555888007,4,2.86666666666667,0,48,1.89296944860009,3.58333333333333,1,0,higher impacted area,very unlikely,0.822868785008517
486,-2.2924948,53.4015144,1.5,-6221040736097701000,1.15470053837925,1,2.0,0,48,1.73205080756888,3.0,1,4,higher impacted area,highest uncertainity,0.822868785008517
487,-2.2909908,53.4015181,2.75,-9030470385945793000,0.621027319149067,2,1.06060606060606,5,55,1.70782512765993,2.91666666666667,3,1,highest contaminated zone,highest uncertainity,0.7204351107893745
